"","area_name","area_code","covid_rate","area","popden","under15","age_15_64","over_65","white","black","asian_indian","asian_bang","asian_chin","mixed_ethnicity","other_ethnicity","BAME","imd","imd_income","imd_emp","imd_edu","imd_health","imd_crime","imd_house","imd_living_env","imd_daci","imd_daopi"
"30","Darlington","E06000005",32.4258269864727,19747.51,5.3,17.8820431207609,64.6508279337653,17.4671289454738,95.9086430980258,0.338183471638058,0.687734454927816,0.495434049486567,0.330605130536925,1.0855973627373,0.247243378424463,1.85195710658937,23.639,0.168,0.15,22.569,0.502,0.224,12.346,10.71,0.215,0.176
"31","Derby","E06000015",31.8871808065865,7803.11,31.9,19.1286904225896,65.7281147488261,15.1431948285843,80.1826718981154,2.94268990802084,4.38468836431466,0.264520486267447,0.519392808902039,2.9073133080337,1.34833086769152,8.11129156750498,27.79,0.181,0.143,29.392,0.42,0.326,18.705,29.666,0.249,0.186
"32","Derbyshire","E10000007",27.7658681592234,254669.96,3,16.4938689283682,64.941287745912,18.5648433257198,97.4141403117635,0.359887018862237,0.536842296728796,0.0297523925340983,0.224377213565012,0.9249226307871,0.117970185244372,1.15085892169014,18.515,0.126,0.117,22.401,0.033,-0.34,16.575,18.465,0.17,0.138
"33","Devon","E10000008",11.1642700485933,656421.67,1.1,15.3174106610539,62.1174465667826,22.5651427721634,97.4705217986626,0.18930893530136,0.250938171139029,0.0763666617988502,0.428055235872502,0.873527429699129,0.225482617206079,0.944669004111742,17.086,0.108,0.095,16.879,-0.319,-0.502,23.413,30.296,0.135,0.127
"34","Doncaster","E08000017",40.1287028524944,56799.22,5.3,17.7574883763996,65.330917123564,16.9115945000364,95.0651781403562,0.772812349124675,0.616728725339118,0.0386902203027758,0.370698606490698,1.09820702244033,0.35184952480473,1.79892990125727,29.051,0.186,0.167,35.244,0.593,0.43,13.318,18.966,0.248,0.183
"35","Dudley","E08000027",34.3500838859152,9795.66,31.9,17.6847487417113,63.7175041942958,18.597747063993,89.8793640648718,1.49268994167932,1.83334664855796,0.126867460254054,0.279939282575697,1.84005752177039,0.622193816409683,3.73284333306703,22.958,0.17,0.143,27.466,0.145,-0.201,14.656,22.227,0.22,0.186
"36","Ealing","E09000009",23.962251328856,5552.5,61,19.162118960316,70.1340526933157,10.7038283463683,48.9048571572083,10.8908580022396,14.2532552910483,0.527701367118827,1.22086340925812,4.45148308903262,5.98790364279404,26.8926780696648,23.585,0.166,0.109,13.205,-0.067,0.601,31.746,28.376,0.23,0.238
"37","East Riding of Yorkshire","E06000011",30.0048776254642,240767.65,1.4,15.4572848682892,63.160461908139,21.3822532235718,98.0199234541967,0.178946013962577,0.323479332932351,0.020647616995682,0.197498945176088,0.68855314068209,0.158597637792919,0.720571909066698,15.792,0.109,0.103,18.208,-0.461,-0.56,21.465,16.93,0.131,0.126
"38","East Sussex","E10000011",10.6897854637905,170855.38,3.1,16.1220192492087,61.1383577223732,22.7396230284181,95.8106673805848,0.552906843171543,0.427781290407104,0.197846473415092,0.36664255294102,1.41891237603741,0.326769463289226,1.54517715993476,18.825,0.131,0.116,21.674,-0.241,-0.388,22.645,18.736,0.174,0.131
"39","Enfield","E09000010",20.5782389123937,8082.94,38.7,21.0416493314473,66.5304385117101,12.4279121568427,60.901346066452,17.1817093699795,3.7277655808952,1.79187495599521,0.828250113612361,5.49915830842396,5.14071931026096,23.5296000204822,26.994,0.21,0.132,20.709,-0.319,0.613,31.956,25.027,0.307,0.219
