Site,Sp,ID Code,Rep,Tree,IN/OUT,Height,Year,DBH,NYear,NyearQ,sqdbh,ttdbh,sqht
Brighton,BS,S-BS-Mlt,1,15,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,15,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,16,IN,3.3,5,0,5,4,0,0,1.816590213
Brighton,BS,S-BS-Mlt,1,16,IN,8.5,10,0.9,10,1,0.948683298,0.932169752,2.915475947
Brighton,BS,S-BS-Mlt,1,16,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,16,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,16,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,17,IN,5.7,5,0.3,5,4,0.547722558,0.448140475,2.387467277
Brighton,BS,S-BS-Mlt,1,17,IN,13.3,10,2.2,10,1,1.483239697,1.691538112,3.646916506
Brighton,BS,S-BS-Mlt,1,17,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,17,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,17,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,18,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,19,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,19,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,19,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,19,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,19,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,20,IN,4,5,0,5,4,0,0,2
Brighton,BS,S-BS-Mlt,1,20,IN,12.1,10,1.6,10,1,1.264911064,1.367980757,3.478505426
Brighton,BS,S-BS-Mlt,1,20,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,20,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,20,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,21,IN,6.2,5,0.4,5,4,0.632455532,0.542883523,2.48997992
Brighton,BS,S-BS-Mlt,1,21,IN,12.8,10,1.9,10,1,1.378404875,1.534036644,3.577708764
Brighton,BS,S-BS-Mlt,1,21,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,21,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,21,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,22,IN,5.4,5,0.2,5,4,0.447213596,0.341995189,2.323790008
Brighton,BS,S-BS-Mlt,1,22,IN,11.4,10,2.3,10,1,1.516575089,1.742416162,3.376388603
Brighton,BS,S-BS-Mlt,1,22,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,22,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,22,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,23,IN,5.8,5,0.3,5,4,0.547722558,0.448140475,2.408318916
Brighton,BS,S-BS-Mlt,1,23,IN,12.6,10,2.2,10,1,1.483239697,1.691538112,3.54964787
Brighton,BS,S-BS-Mlt,1,23,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,23,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,23,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,24,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,24,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,24,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,24,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,24,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,25,OUT,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,25,OUT,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,25,OUT,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,25,OUT,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,25,OUT,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,26,IN,,5,,5,4,,,
Brighton,BS,S-BS-Mlt,1,26,IN,,10,,10,1,,,
Brighton,BS,S-BS-Mlt,1,26,IN,,15,,15,0,,,
Brighton,BS,S-BS-Mlt,1,26,IN,,16,,16,0.04,,,
Brighton,BS,S-BS-Mlt,1,26,IN,,27,,27,5.76,,,
Brighton,BS,S-BS-Mlt,1,27,IN,6,5,0.3,5,4,0.547722558,0.448140475,2.449489743
Brighton,BS,S-BS-Mlt,1,27,IN,12.8,10,2.1,10,1,1.449137675,1.639882998,3.577708764
